color,tessract_text,easyocr_text
"(247, 202, 196)",,
"(154, 91, 73)","Taupe
",Taupe
"(89, 31, 71)","Rebel
",Rebel
"(221, 75, 122)","i_ustering
",ustering
"(215, 67, 115)","juzzed Out (Ltd. Ed.)
",BBuzzed Out (Ltd: Ed )
"(239, 133, 133)",,Goral Bliss
"(225, 149, 133)",,Pure Zen
"(168, 97, 79)","Apricot Gold
",Apricot Gold
"(73, 29, 62)","Noblesse
",Noblesse
"(218, 73, 116)","impassioned
",Impassioned
"(192, 90, 111)","[Metallic Rose
",Metallic Rose
"(235, 119, 120)",,Gosta Chic
"(233, 138, 120)","Ravishing }
",Ravishing
"(181, 99, 75)","Strength
",Strength
"(57, 30, 49)","linstigator

",Instigator
"(232, 69, 112)","You Think?
","Pink, You Think?"
"(238, 105, 106)","King Salmon }}
",King Salmon
"(218, 122, 110)","Prosperity }
",Prosperiti
"(167, 86, 65)","Mocha
",Mocha
"(183, 52, 86)","BA Fired Up
",AII Fired Up
"(201, 46, 50)","iStrawberry Torte
",Strawberry Torte
"(224, 99, 103)","Crosswires }
",Crosswires
"(211, 115, 101)","Peachy New Year }
",Peachy New Year
"(142, 84, 62)","Touch
",Touch
"(176, 129, 161)",,Beach Nut
"(180, 56, 82)","iCraving
",Craving
"(128, 52, 62)","Space Bubble \\\.
",Space Bubble
"(205, 80, 86)","On Hold }
",On Hold
"(202, 94, 82)","Good Health |
",Good Health
"(139, 78, 59)","Persistence
",Persistence
"(205, 140, 183)",,awaii Ralt
"(153, 51, 75)",,DDiva
"(111, 41, 43)","Death By Chocolate
",[Death By Chocolate
"(151, 75, 59)","Paramount
",Paramount
"(216, 106, 179)","Saint Germain
",Saint Germain
"(218, 199, 195)",,
"(229, 49, 48)","Fireworks |
",Fireworks
"(208, 129, 114)","Kinda Sexy }
",Kinda Sex
"(88, 36, 23)","Double Fudge
",Double Fudge
"(150, 77, 123)","Men Love Mystery
",Vlen Love Mystery
"(232, 196, 200)",,
"(221, 167, 141)",,Goconut Macaroon
"(191, 39, 34)","True Blood, MAC Red |
","True Blood, MAC Red"
"(181, 102, 87)","Well Bred Brown. |
",Well Bred Brown
"(66, 28, 15)","Antique Velvet
",Antique Velvet
"(65, 32, 53)","[Smoked Purple

",Smoked Purple
"(227, 178, 184)",,
"(230, 135, 117)","Creamy Peach Pie
",Creamy Peach Pie:
"(179, 39, 40)","Ruby Woo |
",Ruby Woo
"(157, 83, 74)","Fresh Moroccan, Nude Fudge —s*S
",Fresh Moroccan; Nude Fudge
"(242, 162, 171)",,
"(233, 138, 94)","I Twinkle Twink \
",Twinkle
"(189, 61, 61)",,Brick-O-La
"(145, 71, 62)","Brick Dust q
",Brick Dust
"(155, 125, 117)",,Noon Noir
"(205, 91, 150)","Pop Babe
",Pop Babe
"(217, 109, 135)","Bombshell
",Bombshell
"(110, 52, 30)","Caramel Sugar
",Caramel Sugar
"(170, 60, 63)","Del Rio |
",Del Rio
"(139, 62, 52)","Retro q
",Retro
"(134, 96, 85)","Stone
",Stone
"(196, 99, 144)","IGoodbye Kiss
",Soodbye Kiss
"(233, 102, 134)","Gumball
",Gumball
"(228, 216, 200)",,
"(162, 46, 47)","Russian Red, #Winner |
",Russian Red_ #Winner
"(134, 52, 41)","Marrakesh q
",Marrakesh
"(122, 82, 74)","Bronx.
",Bronx
"(190, 88, 136)","lilan Mode (Ltd. Ed.)
",Milan Mode(Ltd: Ed )
"(214, 85, 113)","Speak Louder
",Speak Louder
"(232, 209, 139)",,
"(119, 42, 34)","Spice It Up!
",Spice It Upl
"(67, 56, 52)","In My Fashion
",In My Fashion
"(165, 83, 119)","Sweetie
",Sweetie
"(208, 83, 113)","iChatterbox
",Chatterbox
"(221, 127, 53)","[Banana Muffins
",BBanana Muffins
"(211, 136, 143)",,Peach Blossom
"(105, 36, 31)","Studded Kiss, Dionysus
","Studded Kiss , Dionysus"
"(204, 130, 95)",,"et""$ Rock"
"(194, 119, 126)",,Plum Dandy
"(101, 38, 31)",,Sin
"(174, 163, 131)",,No Interruption
"(221, 76, 143)",,Candy Yum- Yum
"(214, 67, 93)","IF usion Pink
",Fusion Pink
"(190, 120, 84)",,Gilded Age
"(174, 94, 103)",,Mehr
"(97, 50, 42)","Film Noir
",Film Noir
"(214, 207, 93)","Wild Extract
",
"(211, 48, 127)","iAmbrosial
",Ambrosial
"(223, 56, 82)",,Eros
"(199, 196, 103)","Bi<ey Lime Trifle
",
"(169, 98, 112)","Syrup }
",Syrup
"(244, 193, 75)","Gold XIX!
",
"(188, 63, 121)","Girl About Town.
",Sirl About Town
"(202, 53, 75)","iClaretcast
",Claretcast
"(45, 74, 52)","fPeace, Love, Unity, Respect.“
","Peace Love Unity , Respect"
"(154, 91, 99)","Capricious |
",Capricious
"(183, 131, 120)",,Hug Mve
"(209, 62, 142)","Show Orchid
",Show Orchid'
"(178, 52, 76)","iRelentlessly Red
",Relentlessly Red
"(200, 205, 235)",,
"(164, 89, 96)","Creme in Your Coffee }
",Creme in Your Coffee
"(177, 119, 105)","Honeylove }
",Honevlove:
"(247, 206, 154)",,
"(189, 64, 140)","Flat Out Fabulous
",Flat uut Fabulous
"(160, 35, 65)","iCordovan.
",Cordovan
"(119, 193, 218)","I Wild Berry Frosting
",Wild Betry Frosting
"(161, 102, 88)","Shrimpton, Spirit, Icon
","Shrimpton, Spirit, Icon"
"(216, 176, 117)","Spoiled Fabulous
",Spolled Fabulous
"(116, 50, 86)","Odyssey
",Odyssey
"(157, 33, 61)","iMittai Pink
",Mittai Pink
"(109, 51, 109)","Queen's Violet Xs
",Queen's Violet
"(158, 101, 94)","Midimauve }
",Midimauve
"(147, 90, 81)","Vere q
",Verve
"(220, 168, 131)",,
"(152, 46, 64)","1D For Danger
",D For Danger
"(129, 105, 121)","Sensory Overloads’,
",Sensory Overload
"(118, 60, 58)","Viva Glam VI |
",Viva Glam VI
"(142, 78, 68)","Whirh |
",Whirl
"(189, 117, 67)","Bronze Shimmer
",Bronze Shimmer
"(192, 109, 137)",,Snob
